q_num,question,marks,answer,workings,subject,grade,year,paper
1.1.1,Depreciation on equipment on 29 February 2024,2,"344700
127800",,Accounting,Grade 12,2024,P1
1.1.2,Cost price of vehicles on 29 February 2024,4,1330000,,Accounting,Grade 12,2024,P1
1.1.3,Depreciation on vehicles on 29 February 2024.,5,"132720
181360",,Accounting,Grade 12,2024,P1
1.1.4,Profit/Loss on vehicle traded in on 1 September 2023,5,16640,,Accounting,Grade 12,2024,P1
1.1.3,240 000  – 90 240  – 153 660 ,0,3900,,Accounting,Grade 12,2024,P1
1.2,", the Statement of Comprehensive Income.",0,2024,,Accounting,Grade 12,2024,P1
1.2,Statement of Comprehensive Income for the year ended 29 February 2024,0,1757700,,Accounting,Grade 12,2024,P1
1.1.4,award method mark under operating expenses.,55,2024,,Accounting,Grade 12,2024,P1
2.1,RETAINED INCOME NOTE FOR THE YEAR ENDED 29 FEBRUARY 2024,8,1626410,,Accounting,Grade 12,2024,P1
2.1,RETAINED INCOME NOTE FOR THE YEAR ENDED 29 FEBRUARY 2024,8,2024,,Accounting,Grade 12,2024,P1
2.2,CASH FLOW STATEMENT FOR THE YEAR ENDED 29 FEBRUARY 2024,0,64600,,Accounting,Grade 12,2024,P1
2.1,(323 000),17,2024,,Accounting,Grade 12,2024,P1
2.3,Calculate the following for the year ended 29 February 2024:,3,2024,"1 360 950  x 100* 8 240 600  1 16,5%  one part correct calculated as a % % sign not necessary Accept 17% Do not accept 0,165/0,17",Accounting,Grade 12,2024,P1
3.1,Profitability:,4,72,,Accounting,Grade 12,2024,P1
3.2,Dividends pay-out policy:,3,30,s Funds have been retained for future expansion purposes / shareholder will benefit in the future as funds have been set aside / protect the cash flow of the business.,Accounting,Grade 12,2024,P1
3.3,Earnings and returns:,4,2024,,Accounting,Grade 12,2024,P1
3.4,Financing strategies and gearing:,4,2024,,Accounting,Grade 12,2024,P1
3.5,"Grant Waters' % shareholding, rights issue and shares repurchased:",3,2024,1 620 000  x 10 50  32 400 two marks Check numerator / denominator 324 000 shares  If x 10,Accounting,Grade 12,2024,P1
3.6,Role of the CEO:,4,2024,,Accounting,Grade 12,2024,P1
4.1,Explain the role of an independent external auditor. Provide ONE point.,2,,,Accounting,Grade 12,2024,P1
4.2,Choose the correct word from those in brackets. Write the answer and explain your choice.,2,,and explain your choice. Valiant Ltd received a/an (qualified/unqualified/disclaimer of opinion) audit report.,Accounting,Grade 12,2024,P1
4.3,What kind of audit evidence does the independent external auditor examine to verify the fixed assets of a company? Provide TWO points.,4,2024,,Accounting,Grade 12,2024,P1
4.4,What are the implications of this audit report for the following:,4,,,Accounting,Grade 12,2024,P1
4.4,accordingly.,0,,,Accounting,Grade 12,2024,P1
4.2,", if the candidate’s answer in",0,,,Accounting,Grade 12,2024,P1
4.4,matches the MG above.,0,,,Accounting,Grade 12,2024,P1
4.5,State THREE possible consequences for the independent external auditor if he was influenced by the directors of the company to deliberately provide the shareholders with an incorre,3,150,s Possible consequences for auditor as employee: • deregistered / struck off the roll by IRBA (Accounting body) / loss of professional license / revocation of his certificate. • Disciplinary hearing / suspended (during investigation) / fired by his e,Accounting,Grade 12,2024,P1
